"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Cowlitz","FIRE PROTECTION DISTRICT 1 Proposition 1 ","Approved","","493","62.0907","Fire"
"Cowlitz","FIRE PROTECTION DISTRICT 1 Proposition 1 ","Rejected","","301","37.9093","Fire"
"Douglas","EAST WENATCHEE WATER WATER COMMISSIONER #1","Mike McCourt","","538","15.5312","Water"
"Douglas","EAST WENATCHEE WATER WATER COMMISSIONER #1"," John D. Sterk","","1294","37.3557","Water"
"Douglas","EAST WENATCHEE WATER WATER COMMISSIONER #1","Nick Warner","","1632","47.1132","Water"
"Douglas","EASTMONT SD DIRECTOR #4 @ LARGE","Jack Nieborsky","","322","9.1529","School"
"Douglas","EASTMONT SD DIRECTOR #4 @ LARGE","Dave Piepel","","1768","50.2558","School"
"Douglas","EASTMONT SD DIRECTOR #4 @ LARGE","John M. Brangwin","","827","23.5077","School"
"Douglas","EASTMONT SD DIRECTOR #4 @ LARGE","Don Shennum","","601","17.0836","School"
"Ferry","Legislative District 7 State Senator","Karen Hardy","(Prefers Democratic Party)","562","30.6434","Legislative"
"Ferry","Legislative District 7 State Senator","Shelly Short","(Prefers Republican Party)","1272","69.3566","Legislative"
"Ferry","Legislative District 7 State Representative Pos. 1","Susan Swanson","(Prefers Democratic Party)","566","30.929","Legislative"
"Ferry","Legislative District 7 State Representative Pos. 1","Jacquelin Maycumber","(Prefers Republican Party)","1264","69.071","Legislative"
"Franklin","Pasco School District Director, At Large, Position 3","Debi Maxwell","","1214","26.42","School"
"Franklin","Pasco School District Director, At Large, Position 3","Brian V. Griffith","","1340","29.1621","School"
"Franklin","Pasco School District Director, At Large, Position 3","Steve Christensen","","2041","44.4178","School"
"Franklin","Pasco School District Director, At Large, Position 5","Amy L. Phillips","","2081","44.695","School"
"Franklin","Pasco School District Director, At Large, Position 5","Marlando D. Sparks Sr ","","1178","25.3007","School"
"Franklin","Pasco School District Director, At Large, Position 5","Jeffrey A. Peterson","","1397","30.0043","School"
"Franklin","Othello School District Director District 1","Jenn Stevenson","","10","37.037","School"
"Franklin","Othello School District Director District 1","Eleanor Brodahl","","6","22.2222","School"
"Franklin","Othello School District Director District 1","Kevin Gilbert","","11","40.7407","School"
"Franklin","City of Connell Councilmember, At Large, Position 1, Mayor","Mauro V. Ortiz","","59","15.6915","City/Town"
"Franklin","City of Connell Councilmember, At Large, Position 1, Mayor","Bruce &quot;Blacky&quot; Blackwell","","61","16.2234","City/Town"
"Franklin","City of Connell Councilmember, At Large, Position 1, Mayor","Lee Barrow","","256","68.0851","City/Town"
"Franklin","City of Pasco District 4 Councilmember, District 4, Position 4","Roberto (RJ) Garcia","","120","15.4639","City/Town"
"Franklin","City of Pasco District 4 Councilmember, District 4, Position 4","Trevor Sall","","49","6.3144","City/Town"
"Franklin","City of Pasco District 4 Councilmember, District 4, Position 4","Pete Serrano","","193","24.8711","City/Town"
"Franklin","City of Pasco District 4 Councilmember, District 4, Position 4","Dan Hatch","","242","31.1856","City/Town"
"Franklin","City of Pasco District 4 Councilmember, District 4, Position 4","Abel Campos","","115","14.8196","City/Town"
"Franklin","City of Pasco District 4 Councilmember, District 4, Position 4","Chi A. Flores","","57","7.3454","City/Town"
"Franklin","City of Pasco District 5 Councilmember, District 5, Position 5","Joan Larsen","","133","8.0169","City/Town"
"Franklin","City of Pasco District 5 Councilmember, District 5, Position 5","Mark &quot;Doc&quot; MacFarlan","","134","8.0772","City/Town"
